equipamento,faixa,observacoes,baixa_ate30,dias_com_dados,perc_ate30,dias_analisados,dias_baixa_velocidade,perc_dias_baixa,velocidade_media_estimada,equipamento_historico,id_numerico,local_instalacao,sentido_fiscalizacao,latitude,longitude,faixas_fiscalizadas,velocidade_fiscalizada,vmd,localizado,hora_pico,perc_ate30_no_pico,perc_dias_criticos_no_pico
CTTU-9474,A,914300.0,256718.0,129,28.078092529804223,129,2,1.550387596899225,32.43843377447227,CTTU-9474,9474,"AV. ENG. JOSÂ ESTELITA, APÃ S O VIADUTO DAS CINCO PONTAS",BOA VIAGEM,-8.0740393,-34.8833045,2.0,40 Km/h,21100.0,True,17.0,44.51389352117101,41.732283464566926
CTTU-9455,B,1831878.0,502649.0,236,27.438999758717557,236,0,0.0,33.46857705589564,CTTU-9455,9455,"AV. BEBERIBE SANTA CRUZ FUTEBOL CLUBE, 2960",SUBURBIO,-8.0129248,-34.8894324,2.0,50 Km/h,23300.0,True,17.0,37.55856177578819,4.464285714285714
CTTU-9474,B,1087209.0,292141.0,129,26.87073046672719,129,0,0.0,32.69801390533007,CTTU-9474,9474,"AV. ENG. JOSÂ ESTELITA, APÃ S O VIADUTO DAS CINCO PONTAS",BOA VIAGEM,-8.0740393,-34.8833045,2.0,40 Km/h,21100.0,True,17.0,43.12363408835085,31.496062992125985
CTTU-9471,D,388838.0,103650.0,229,26.656345316044217,229,1,0.43668122270742354,39.66246418632882,CTTU-9471,9471,"AV. MAL. MASCARENHAS DE MORAES, N. 1413",CENTRO,-8.0947039,-34.9091814,4.0,60 Km/h,33600.0,True,9.0,37.19850539927074,23.22274881516588
CTTU-9451,B,2897812.0,767746.0,230,26.493989258102317,230,0,0.0,33.409134201942706,CTTU-9451,9451,"AV. RUI BARBOSA, N. 1397",-,-8.0411938,-34.9033352,3.0,40 km/h e 60 Km/h,26300.0,True,7.0,64.79725538473794,55.714285714285715
CTTU-9450,A,1271470.0,289886.0,235,22.79927957403635,235,0,0.0,35.39358380457266,CTTU-9450,9450,"AV. REPUBLICA DO LIBANO, N. 115 - PINA",SUBURBIO,-8.0415362,-34.8832782,3.0,60 Km/h,37900.0,True,4.0,50.1475435152361,42.72300469483568
CTTU-9454,A,4090054.0,885905.0,236,21.659982973329935,236,2,0.847457627118644,34.046369092617894,CTTU-9454,9454,"AV. BEBERIBE SANTA CRUZ FUTEBOL CLUBE, 3101",CENTRO,-8.0117133,-34.889407,2.0,50 Km/h,26300.0,True,7.0,46.39029820865725,45.089285714285715
CTTU-9443,A,2168874.0,467560.0,229,21.55772995572818,229,16,6.986899563318777,36.86158862595603,CTTU-9443,9443,"AV. BOA VIAGEM, ENTRE O N. 6114 E 5890",-,-8.1408899,-34.9032189,3.0,60 Km/h,28900.0,True,7.0,33.05999106656775,30.952380952380953
CTTU-9452,C,1763526.0,369425.0,234,20.948089225789694,234,1,0.4273504273504274,33.48051401625382,CTTU-9452,9452,RUA ARQUITETO LUIZ NUNES ENTRE O N.315 E 379,SUBURBIO,-8.0874203,-34.9099345,3.0,40 Km/h,12700.0,True,17.0,28.63093591598435,0.0
CTTU-9452,B,995449.0,199943.0,234,20.0857100665127,234,0,0.0,33.77549728815841,CTTU-9452,9452,RUA ARQUITETO LUIZ NUNES ENTRE O N.315 E 379,SUBURBIO,-8.0874203,-34.9099345,3.0,40 Km/h,12700.0,True,18.0,26.419985569590214,0.9090909090909091
CTTU-9472,C,1810866.0,354719.0,227,19.588362694975775,227,0,0.0,38.269698884068596,CTTU-9472,9472,"AV. MAL. MASCARENHAS DE MORAES, N. 2686",SUBÃ©RBIO,-8.1059586,-34.9114179,4.0,60 Km/h,33200.0,True,17.0,30.311089256791412,13.839285714285715
CTTU-9465,C,1980267.0,377109.0,236,19.043341125211903,236,0,0.0,36.77705509111154,CTTU-9465,9465,"AV. CONS. AGUIAR, N. 4620",-,-8.128025,-34.900266,4.0,60 Km/h,19900.0,True,2.0,24.998843860352668,0.4524886877828055
CTTU-9459,B,3159835.0,600190.0,235,18.994346223774343,235,0,0.0,39.42793765891148,CTTU-9459,9459,"AV. ENG. ABDIAS DE CARVALHO, ENTRE OS Nº 1785 E 1745",CENTRO,-8.062475,-34.917508,3.0,60 Km/h,24000.0,True,8.0,39.49878129525373,32.126696832579185
CTTU-9481,C,272841.0,51405.0,84,18.84064345168065,84,13,15.476190476190476,33.321800322533356,CTTU-9481,9481,"AV. ENG. JOSÂ ESTELITA, PRÃ XIMO A RUA DR. GEORGE LATACHE",CENTRO,-8.075645,-34.887832,3.0,40 Km/h,23200.0,True,5.0,50.755282194783035,33.33333333333333
CTTU-9470,D,229746.0,39476.0,235,17.182453666222695,235,2,0.851063829787234,41.34522052902591,CTTU-9470,9470,"AV. MAL. MASCARENHAS DE MORAES, ENTRE O N. 1200 E 1268",SUBÃ©RBIO,-8.0938208,-34.9092268,4.0,60 Km/h,29400.0,True,3.0,32.13299812678695,32.298136645962735
CTTU-9464,D,748752.0,126987.0,236,16.95982114238092,236,17,7.203389830508475,37.33049438331301,CTTU-9464,9464,"AV. GOV. AGAMENON MAGALHAES, LADO OPOSTO AO N. 1470",DERBY,-8.041536,-34.883278,4.0,60 Km/h,44100.0,True,8.0,28.264299842600625,15.246636771300448
CTTU-9459,A,2646624.0,434990.0,235,16.435655385880278,235,0,0.0,41.66550161117728,CTTU-9459,9459,"AV. ENG. ABDIAS DE CARVALHO, ENTRE OS Nº 1785 E 1745",CENTRO,-8.062475,-34.917508,3.0,60 Km/h,24000.0,True,9.0,36.191641192300615,27.601809954751133
CTTU-9477,A,1235077.0,202791.0,108,16.419300173187583,108,0,0.0,36.522843995915956,CTTU-9477,9477,"RUA SÃO MIGUEL, APÃ S O N. 1165",CENTRO,-8.080834,-34.917056,2.0,50 Km/h,18700.0,True,7.0,33.575636331220636,30.555555555555557
CTTU-9443,C,1062485.0,172253.0,229,16.212275938013242,229,61,26.637554585152838,39.1690604282041,CTTU-9443,9443,"AV. BOA VIAGEM, ENTRE O N. 6114 E 5890",-,-8.1408899,-34.9032189,3.0,60 Km/h,28900.0,True,7.0,45.53776904736851,42.18009478672986
CTTU-9482,D,58374.0,9406.0,96,16.11333812998938,96,2,2.083333333333333,39.65763280968941,CTTU-9482,9482,"VIADUTO PAPA JOÃO PAULO II, S/N",BOA VIAGEM,-8.0702082,-34.896352,4.0,60 Km/h,34700.0,True,4.0,51.26270733012306,67.41573033707866
CTTU-9466,A,2160989.0,336619.0,210,15.577080679263059,210,4,1.9047619047619049,40.682607391886215,CTTU-9466,9466,"AV. MAL. MASCARENHAS DE MORAES, EM FRENTE AEROPORTO",CENTRO,-8.130636,-34.915938,4.0,60 Km/h,37200.0,True,8.0,48.1770052538396,49.473684210526315
CTTU-9476,B,281447.0,41721.0,106,14.823750119916005,106,0,0.0,36.09000984199512,CTTU-9476,9476,"AV. DR. JOSÂ RUFINO, LADO OPOSTO AO N. 3625",SUBURBIO,-8.0902019,-34.95470157,2.0,50 Km/h,10900.0,True,18.0,33.368880056060696,16.50485436893204
CTTU-9473,A,2372964.0,332521.0,228,14.012896950817627,228,7,3.070175438596491,40.07871415910893,CTTU-9473,9473,"AV. MAL. MASCARENHAS DE MORAES, N. 2557",CENTRO,-8.1067792,-34.9113295,4.0,60 Km/h,36900.0,True,18.0,32.44203324706169,25.77777777777778
CTTU-9443,B,2416371.0,331731.0,229,13.72847960847072,229,21,9.170305676855897,39.70911034476194,CTTU-9443,9443,"AV. BOA VIAGEM, ENTRE O N. 6114 E 5890",-,-8.1408899,-34.9032189,3.0,60 Km/h,28900.0,True,7.0,32.24013839053946,30.952380952380953
CTTU-9464,C,3299771.0,447167.0,236,13.55145554039962,236,1,0.423728813559322,38.081807569501855,CTTU-9464,9464,"AV. GOV. AGAMENON MAGALHAES, LADO OPOSTO AO N. 1470",DERBY,-8.041536,-34.883278,4.0,60 Km/h,44100.0,True,8.0,25.683046727911687,14.349775784753364
CTTU-9480,C,402558.0,54496.0,95,13.537428146999936,95,0,0.0,37.872083029029355,CTTU-9480,9480,"AV. PRESIDENTE DUTRA, N. 91",BOA VIAGEM,-8.121783,-34.918223,3.0,50 Km/h,32900.0,True,5.0,20.803544766827656,0.0
CTTU-9442,C,638628.0,84754.0,232,13.27126276956225,232,61,26.29310344827586,40.32264479477881,CTTU-9442,9442,"AV. BOA VIAGEM, ENTRE O N. 2080 E 1906",-,-8.1078431,-34.8881609,3.0,60 Km/h,24400.0,True,5.0,39.783181529977135,32.857142857142854
CTTU-9448,C,3009765.0,395438.0,232,13.138500846411597,232,0,0.0,39.03768534675808,CTTU-9448,9448,"PRACA GOV. PAULO GUERRA, PROX. AO SEMAFORO 662",SUBURBIO,-8.0800835,-34.8921567,3.0,60 Km/h,42500.0,True,17.0,33.6810472913428,19.90950226244344
CTTU-9467,D,893284.0,115278.0,212,12.904966393666516,212,0,0.0,39.3984779756494,CTTU-9467,9467,"AV. MAL. MASCARENHAS DE MORAES, EM FRENTE AEROPORTO",PRAZERES,-8.13106,-34.916159,4.0,60 Km/h,44500.0,True,18.0,30.152479377837455,17.08542713567839
CTTU-9442,A,2119105.0,258997.0,232,12.221999381814493,232,3,1.293103448275862,40.471537667659696,CTTU-9442,9442,"AV. BOA VIAGEM, ENTRE O N. 2080 E 1906",-,-8.1078431,-34.8881609,3.0,60 Km/h,24400.0,True,9.0,13.028656100231007,9.859154929577464
CTTU-9475,B,590298.0,71154.0,108,12.053911753046766,108,0,0.0,37.084682938729046,CTTU-9475,9475,"AV. DR. JOSÂ RUFINO, APÃ S O N. 3775",CENTRO,-8.090489,-34.955414,2.0,50 Km/h,9800.0,True,4.0,20.101357046979707,0.0
CTTU-9466,B,2441018.0,289647.0,210,11.865828109419922,210,0,0.0,41.93718130076605,CTTU-9466,9466,"AV. MAL. MASCARENHAS DE MORAES, EM FRENTE AEROPORTO",CENTRO,-8.130636,-34.915938,4.0,60 Km/h,37200.0,True,8.0,45.59477218969265,47.89473684210526
CTTU-9467,C,2989850.0,354264.0,212,11.848888740237804,212,0,0.0,40.26333146478545,CTTU-9467,9467,"AV. MAL. MASCARENHAS DE MORAES, EM FRENTE AEROPORTO",PRAZERES,-8.13106,-34.916159,4.0,60 Km/h,44500.0,True,17.0,36.6601093847723,32.82828282828283
CTTU-9448,A,2996391.0,347615.0,232,11.601122817416018,232,0,0.0,40.61063479720597,CTTU-9448,9448,"PRACA GOV. PAULO GUERRA, PROX. AO SEMAFORO 662",SUBURBIO,-8.0800835,-34.8921567,3.0,60 Km/h,42500.0,True,17.0,21.455438216101403,6.787330316742081
CTTU-9466,C,1831899.0,212178.0,211,11.582407108688852,211,1,0.47393364928909953,41.61329388420188,CTTU-9466,9466,"AV. MAL. MASCARENHAS DE MORAES, EM FRENTE AEROPORTO",CENTRO,-8.130636,-34.915938,4.0,60 Km/h,37200.0,True,8.0,45.07751302243544,46.31578947368421
CTTU-9453,A,1387349.0,160268.0,235,11.552104048800986,235,0,0.0,39.210930342689544,CTTU-9453,9453,"AV. SATURNINO DE BRITO, ENTRE O N. 384 E 478",SUBURBIO,-8.0795892,-34.8927619,3.0,60 Km/h,36300.0,True,17.0,43.67044193827127,50.672645739910315
CTTU-9465,B,1832005.0,205431.0,236,11.213451928351724,236,0,0.0,38.35549485699813,CTTU-9465,9465,"AV. CONS. AGUIAR, N. 4620",-,-8.128025,-34.900266,4.0,60 Km/h,19900.0,True,1.0,21.590730343013636,0.0
CTTU-9445,C,381962.0,42567.0,232,11.144302312795514,232,1,0.43103448275862066,44.15269058178562,CTTU-9445,9445,"AV. CELSO FURTADO KM 2,4",SUBURBIO,-8.1054086,-34.8919144,3.0,60 Km/h,40800.0,True,4.0,49.50736967637365,64.97175141242938
