equipamento,faixa,perc_ate30,perc_dias_criticos_DIA_INTEIRO,hora_pico,perc_ate30_no_pico,perc_dias_criticos_no_pico
CTTU-9448,B,10.274874319549816,0.0,17.0,25.525602605731006,11.312217194570136
CTTU-9469,A,10.246155355097779,0.0,4.0,15.034523680953845,0.0
CTTU-9473,C,9.595274688846699,0.43859649122807015,18.0,27.10298505103158,17.77777777777778
CTTU-9453,B,9.213882241373769,0.0,17.0,41.76347624611848,48.4304932735426
CTTU-9479,C,8.933902135032982,0.0,18.0,22.851130349715856,5.747126436781609
CTTU-9455,A,8.632208787007638,0.0,18.0,18.916709668757054,2.242152466367713
CTTU-9468,B,8.621797594294852,0.0,7.0,11.75414396122156,0.0
CTTU-9464,B,8.597099230613063,0.0,8.0,18.790956614499596,12.10762331838565
CTTU-9476,A,8.481676194141805,0.0,18.0,23.361594672642834,9.615384615384617
CTTU-9473,B,8.119606414199252,1.3157894736842104,18.0,25.90139946704691,15.555555555555555
CTTU-9467,A,8.048051743510365,0.0,17.0,22.061683157998935,11.616161616161616
CTTU-9463,A,7.347022657601343,0.0,17.0,27.82320569401519,18.385650224215247
CTTU-9463,C,7.280150322638618,0.0,17.0,25.713291009095855,14.798206278026907
CTTU-9463,B,7.145350335801126,0.0,17.0,24.964469799266897,12.556053811659194
CTTU-9467,B,6.94812642552276,0.0,17.0,23.768535539638957,13.131313131313133
CTTU-9471,C,6.87933887980192,0.0,9.0,19.39957284241319,16.587677725118482
CTTU-9442,B,6.392595271376635,13.793103448275861,17.0,17.796752815386288,14.61187214611872
CTTU-9464,A,5.844342181097735,0.0,8.0,14.692218108653224,9.417040358744394
CTTU-9440,B,5.726144188535291,0.0,5.0,28.97720500504402,28.431372549019606
CTTU-9472,B,5.662755568897613,0.4405286343612335,17.0,15.285141342721063,9.821428571428571
CTTU-9471,A,5.58205073240443,0.0,18.0,15.510382712657343,12.264150943396226
CTTU-9444,C,5.292932747660058,0.0,4.0,25.02210535045529,24.761904761904763
CTTU-9471,B,4.354901378902362,0.0,18.0,14.601074550548821,10.849056603773585
CTTU-9480,B,4.337535574868476,0.0,18.0,9.961239858059075,0.0
CTTU-9479,A,4.107074980898665,0.0,18.0,10.976554047486449,3.4090909090909087
CTTU-9479,B,3.8322994538209545,0.0,18.0,15.128019040851605,3.4090909090909087
CTTU-9475,A,3.6574534121642333,0.0,7.0,7.856833409071026,1.8691588785046727
CTTU-9439,A,3.5567041474728063,0.0,18.0,9.2326913644725,4.739336492890995
CTTU-9482,C,3.5339838531447114,0.0,18.0,10.962302170493118,5.208333333333334
CTTU-9483,C,3.0994168193481078,0.0,7.0,8.413593482929409,3.125
CTTU-9480,A,2.9944903386703516,0.0,18.0,6.17086851848666,0.0
CTTU-9445,A,2.978689677719766,0.0,17.0,15.930685262056269,5.045871559633028
CTTU-9483,A,2.9554453974114674,0.0,7.0,8.394592882691308,4.166666666666666
CTTU-9445,B,2.9308491019727794,0.0,17.0,15.724714998307793,4.587155963302752
CTTU-9470,A,2.7647041316973207,0.0,6.0,6.500192726860133,2.262443438914027
CTTU-9468,A,2.6238731099998285,0.0,18.0,4.161188650824323,0.0
CTTU-9440,A,2.531909132501097,0.0,18.0,5.836009468296335,1.8957345971563981
CTTU-9446,C,2.3318330628384674,0.0,4.0,48.01391897586401,56.060606060606055
CTTU-9483,B,2.157716097241605,0.0,7.0,8.510290950560996,4.166666666666666
CTTU-9450,B,2.0684804906452876,0.0,17.0,9.142702307752018,3.153153153153153
CTTU-9439,B,1.8926700789233406,0.0,18.0,6.656371769089689,4.265402843601896
CTTU-9450,C,1.8778485476658466,0.0,17.0,7.429878197215021,3.153153153153153
CTTU-9482,A,1.789331226688769,0.0,18.0,5.552969887224969,4.166666666666666
CTTU-9470,C,1.6539659176280541,0.0,9.0,4.864506296562568,2.2522522522522523
CTTU-9482,B,1.5911410735526013,0.0,18.0,6.440816066555858,4.166666666666666
CTTU-9444,A,0.9408225426745607,0.0,8.0,5.836725259019753,4.587155963302752
CTTU-9444,B,0.8640077955941138,0.0,8.0,6.176130772449424,4.587155963302752
CTTU-9470,B,0.7319911687407772,0.0,7.0,3.145998362516641,1.8018018018018018
CTTU-9446,A,0.4097241585557368,0.0,4.0,3.9912356004608633,0.0
CTTU-9446,B,0.30647492429348494,0.0,21.0,2.56760899481301,2.7649769585253456
