_id,tipo_equipamento,registro_inmetro,numero_serie_fabricante,identificacao_equipamento,local_instalacao,sentido_fiscalizacao,latitude,longitude,faixas_fiscalizadas,velocidade_fiscalizada,vmd,periodo_vmd
24,FIXO,Portaria 018/2018-243/2022,R14704,9461,"AV. ANTONIO DE GOS, EM FRENTE AO N.124",-,-8.0883260,-34.883770000,3,60 Km/h,27300,set/25
25,FIXO,Portaria 018/2018-243/2022,R14705,9462,"AV. ANTONIO DE GOS, EM FRENTE AO N.124",-,-8.0883260,-34.883770000,3,40 km/h e 60 Km/h,25000,set/25
26,FIXO,Portaria 018/2018-243/2022,R14706,9463,"AV. GOV. AGAMENON MAGALHAES, LADO OPOSTO AO N. 1800",OLINDA,-8.0431650,-34.885864000,4,60 Km/h,45700,set/25
27,FIXO,Portaria 018/2018-243/2022,R14707,9464,"AV. GOV. AGAMENON MAGALHAES, LADO OPOSTO AO N. 1470",DERBY,-8.0415360,-34.883278000,4,60 Km/h,44100,set/25
28,FIXO,Portaria 018/2018-243/2022,R14708,9465,"AV. CONS. AGUIAR, N. 4620",-,-8.1280250,-34.900266000,4,60 Km/h,19900,set/25
29,FIXO,Portaria 018/2018-243/2022,R14709,9466,"AV. MAL. MASCARENHAS DE MORAES, EM FRENTE AEROPORTO",CENTRO,-8.1306360,-34.915938000,4,60 Km/h,37200,set/25
30,FIXO,Portaria 018/2018-243/2022,R14710,9467,"AV. MAL. MASCARENHAS DE MORAES, EM FRENTE AEROPORTO",PRAZERES,-8.1310600,-34.916159000,4,60 Km/h,44500,set/25
31,FIXO,Portaria 018/2018-243/2022,R14998,9468,"AV. BEBERIBE SANTA CRUZ FUTEBOL CLUBE, ENTRE O N. 3724 E 3878",SUBéRBIO,-8.0062039,-34.8917207,2,50 Km/h,7600,set/25
32,FIXO,Portaria 018/2018-243/2022,R14969,9469,"AV. BEBERIBE SANTA CRUZ FUTEBOL CLUBE, ENTRE O N. 4093 E 4035",CENTRO,-8.0051381,-34.8934414,2,50 Km/h,9659,set/25
33,FIXO,Portaria 018/2018-243/2022,R14970,9470,"AV. MAL. MASCARENHAS DE MORAES, ENTRE O N. 1200 E 1268",SUBéRBIO,-8.0938208,-34.9092268,4,60 Km/h,29400,set/25
